Lote,Linea,Palma,Longitud,Latitud
67-CASA ROJA,105,21,-73.649701400000,3.884058347000
67-CASA ROJA,105,28,-73.649750900000,3.884572155000
67-CASA ROJA,105,26,-73.649728300000,3.884453928000
67-CASA ROJA,105,4,-73.649570900000,3.882455552000
67-CASA ROJA,105,6,-73.649579900000,3.882612420000
67-CASA ROJA,105,7,-73.649595700000,3.882694269000
67-CASA ROJA,105,25,-73.649728400000,3.884303885000
67-CASA ROJA,105,17,-73.649667700000,3.883510447000
67-CASA ROJA,105,1,-73.649534800000,3.882212283000
67-CASA ROJA,105,27,-73.649739600000,3.884524408000
67-CASA ROJA,105,25,-73.649728400000,3.884224317000
67-CASA ROJA,105,3,-73.649568700000,3.882385076000
67-CASA ROJA,105,25,-73.649728400000,3.884376633000
67-CASA ROJA,105,15,-73.649667800000,3.883314937000
67-CASA ROJA,105,13,-73.649631600000,3.883167149000
62-LA CEIBA,105,4,-73.659612400000,3.884994000000
62-LA CEIBA,105,9,-73.659533700000,3.884478300000
62-LA CEIBA,105,10,-73.659513200000,3.884372800000
62-LA CEIBA,105,2,-73.659641300000,3.885196800000
62-LA CEIBA,105,6,-73.659587800000,3.884841000000
62-LA CEIBA,105,5,-73.659603700000,3.884919400000
62-LA CEIBA,105,7,-73.659564000000,3.884749500000
62-LA CEIBA,105,8,-73.659541700000,3.884571200000
62-LA CEIBA,105,1,-73.659650900000,3.885360300000
62-LA CEIBA,105,3,-73.659632100000,3.885090400000
67-CASA ROJA,106,27,-73.649805300000,3.884497161000
67-CASA ROJA,106,15,-73.649713000000,3.883478643000
67-CASA ROJA,106,9,-73.649670200000,3.882960292000
67-CASA ROJA,106,10,-73.649683800000,3.883037593000
67-CASA ROJA,106,11,-73.649690500000,3.883183093000
67-CASA ROJA,106,15,-73.649713000000,3.883326327000
67-CASA ROJA,106,6,-73.649661300000,3.882794331000
67-CASA ROJA,106,5,-73.649647800000,3.882560166000
67-CASA ROJA,106,22,-73.649773800000,3.884092485000
67-CASA ROJA,106,15,-73.649713000000,3.883410441000
67-CASA ROJA,106,18,-73.649726500000,3.883630966000
67-CASA ROJA,106,20,-73.649760300000,3.883942435000
67-CASA ROJA,106,6,-73.649661300000,3.882712489000
67-CASA ROJA,106,2,-73.649623000000,3.882419205000
67-CASA ROJA,106,24,-73.649785000000,3.884258447000
67-CASA ROJA,106,26,-73.649796200000,3.884408495000
67-CASA ROJA,106,1,-73.649620800000,3.882316902000
67-CASA ROJA,106,3,-73.649632000000,3.882489684000
67-CASA ROJA,106,13,-73.649697200000,3.883276304000
67-CASA ROJA,106,5,-73.649647800000,3.882635188000
67-CASA ROJA,106,11,-73.649690500000,3.883112618000
67-CASA ROJA,106,23,-73.649782800000,3.884181151000
67-CASA ROJA,106,17,-73.649724200000,3.883551396000
67-CASA ROJA,106,19,-73.649730900000,3.883735543000
67-CASA ROJA,106,8,-73.649670300000,3.882880724000
67-CASA ROJA,106,25,-73.649791700000,3.884344838000
67-CASA ROJA,106,21,-73.649769300000,3.884017461000
62-LA CEIBA,106,7,-73.659467200000,3.884602800000
62-LA CEIBA,106,5,-73.659501000000,3.884809700000
62-LA CEIBA,106,1,-73.659577500000,3.885430600000
62-LA CEIBA,106,9,-73.659448800000,3.884442400000
62-LA CEIBA,106,4,-73.659516700000,3.884886000000
62-LA CEIBA,106,8,-73.659460300000,3.884523500000
62-LA CEIBA,106,3,-73.659530700000,3.884969200000
62-LA CEIBA,106,6,-73.659492400000,3.884710100000
62-LA CEIBA,106,2,-73.659575600000,3.885330400000
62-LA CEIBA,106,10,-73.659441900000,3.884363100000
67-CASA ROJA,107,1,-73.649686400000,3.882355582000
67-CASA ROJA,107,22,-73.649823600000,3.884065229000
67-CASA ROJA,107,17,-73.649796700000,3.883524153000
67-CASA ROJA,107,21,-73.649814600000,3.883987930000
67-CASA ROJA,107,3,-73.649702100000,3.882585201000
67-CASA ROJA,107,6,-73.649726900000,3.882735256000
67-CASA ROJA,107,20,-73.649810100000,3.883824245000
67-CASA ROJA,107,25,-73.649848400000,3.884217558000
67-CASA ROJA,107,23,-73.649839400000,3.884151626000
67-CASA ROJA,107,13,-73.649765100000,3.883289979000
67-CASA ROJA,107,15,-73.649783100000,3.883455945000
67-CASA ROJA,107,12,-73.649756100000,3.883210406000
67-CASA ROJA,107,17,-73.649796700000,3.883585534000
67-CASA ROJA,107,3,-73.649702100000,3.882517000000
67-CASA ROJA,107,18,-73.649807900000,3.883733309000
67-CASA ROJA,107,5,-73.649711100000,3.882667047000
67-CASA ROJA,107,25,-73.649848400000,3.884297126000
67-CASA ROJA,107,14,-73.649769600000,3.883365003000
67-CASA ROJA,107,10,-73.649744900000,3.883042171000
67-CASA ROJA,107,7,-73.649722400000,3.882819369000
67-CASA ROJA,107,11,-73.649753900000,3.883126290000
67-CASA ROJA,107,8,-73.649724600000,3.882894391000
67-CASA ROJA,107,9,-73.649731300000,3.882983056000
67-CASA ROJA,107,26,-73.649857400000,3.884358512000
67-CASA ROJA,107,2,-73.649697700000,3.882426063000
67-CASA ROJA,107,18,-73.649807900000,3.883662834000
62-LA CEIBA,107,1,-73.659508300000,3.885365900000
62-LA CEIBA,107,11,-73.659362700000,3.884340300000
62-LA CEIBA,107,6,-73.659425100000,3.884773000000
62-LA CEIBA,107,3,-73.659482500000,3.885199300000
62-LA CEIBA,107,4,-73.659431700000,3.884927600000
62-LA CEIBA,107,2,-73.659497300000,3.885291600000
62-LA CEIBA,107,9,-73.659371800000,3.884471900000
62-LA CEIBA,107,5,-73.659433200000,3.884865900000
62-LA CEIBA,107,7,-73.659416900000,3.884677900000
62-LA CEIBA,107,10,-73.659367000000,3.884390200000
62-LA CEIBA,107,8,-73.659402700000,3.884592400000
67-CASA ROJA,108,3,-73.649772300000,3.882557956000
67-CASA ROJA,108,14,-73.649844300000,3.883421875000
67-CASA ROJA,108,25,-73.649909500000,3.884263057000
67-CASA ROJA,108,19,-73.649887100000,3.883785637000
67-CASA ROJA,108,6,-73.649781200000,3.882767111000
67-CASA ROJA,108,22,-73.649898300000,3.884090274000
67-CASA ROJA,108,10,-73.649817300000,3.883105862000
67-CASA ROJA,108,7,-73.649785700000,3.882864869000
67-CASA ROJA,108,18,-73.649871300000,3.883703787000
67-CASA ROJA,108,2,-73.649763300000,3.882398816000
67-CASA ROJA,108,11,-73.649819500000,3.883167245000
67-CASA ROJA,108,20,-73.649891600000,3.883919768000
67-CASA ROJA,108,15,-73.649853300000,3.883487807000
67-CASA ROJA,108,13,-73.649837500000,3.883337757000
67-CASA ROJA,108,12,-73.649835300000,3.883240001000
67-CASA ROJA,108,17,-73.649864500000,3.883621942000
67-CASA ROJA,108,8,-73.649792400000,3.882955807000
67-CASA ROJA,108,4,-73.649772200000,3.882635251000
67-CASA ROJA,108,24,-73.649905000000,3.884160752000
67-CASA ROJA,108,26,-73.649916200000,3.884333535000
67-CASA ROJA,108,9,-73.649812800000,3.883033112000
67-CASA ROJA,108,22,-73.649898300000,3.884010706000
67-CASA ROJA,108,16,-73.649855500000,3.883560557000
67-CASA ROJA,108,2,-73.649763300000,3.882471563000
67-CASA ROJA,108,5,-73.649779000000,3.882701182000
67-CASA ROJA,108,20,-73.649891600000,3.883847020000
62-LA CEIBA,108,3,-73.659390000000,3.885075000000
62-LA CEIBA,108,11,-73.659275800000,3.884281800000
62-LA CEIBA,108,6,-73.659340900000,3.884718800000
62-LA CEIBA,108,9,-73.659291300000,3.884460700000
62-LA CEIBA,108,7,-73.659320100000,3.884636100000
62-LA CEIBA,108,1,-73.659408900000,3.885267300000
62-LA CEIBA,108,10,-73.659284000000,3.884376900000
62-LA CEIBA,108,4,-73.659363400000,3.884899400000
62-LA CEIBA,108,2,-73.659407600000,3.885173900000
62-LA CEIBA,108,5,-73.659356900000,3.884824600000
62-LA CEIBA,108,8,-73.659311800000,3.884566100000
67-CASA ROJA,109,8,-73.649872800000,3.882960395000
67-CASA ROJA,109,12,-73.649904300000,3.883344611000
67-CASA ROJA,109,1,-73.649834600000,3.882428406000
67-CASA ROJA,109,15,-73.649931300000,3.883658350000
67-CASA ROJA,109,22,-73.649965000000,3.884192610000
67-CASA ROJA,109,19,-73.649965100000,3.883951633000
67-CASA ROJA,109,13,-73.649915600000,3.883417364000
67-CASA ROJA,109,20,-73.649958300000,3.884035744000
67-CASA ROJA,109,14,-73.649920100000,3.883506028000
67-CASA ROJA,109,17,-73.649944800000,3.883783393000
67-CASA ROJA,109,8,-73.649872800000,3.883039963000
67-CASA ROJA,109,9,-73.649879500000,3.883105894000
67-CASA ROJA,109,2,-73.649836800000,3.882519342000
67-CASA ROJA,109,5,-73.649857100000,3.882733049000
67-CASA ROJA,109,3,-73.649843600000,3.882603460000
67-CASA ROJA,109,6,-73.649875100000,3.882874007000
67-CASA ROJA,109,4,-73.649845800000,3.882660295000
67-CASA ROJA,109,15,-73.649931300000,3.883576509000
67-CASA ROJA,109,17,-73.649944800000,3.883722011000
67-CASA ROJA,109,21,-73.649958200000,3.884128952000
62-LA CEIBA,109,10,-73.659192200000,3.884234300000
62-LA CEIBA,109,4,-73.659270800000,3.884775100000
62-LA CEIBA,109,1,-73.659309200000,3.885139100000
62-LA CEIBA,109,9,-73.659203300000,3.884336000000
62-LA CEIBA,109,7,-73.659227800000,3.884514100000
62-LA CEIBA,109,2,-73.659300700000,3.885041800000
62-LA CEIBA,109,6,-73.659236400000,3.884613800000
62-LA CEIBA,109,3,-73.659292500000,3.884946600000
62-LA CEIBA,109,8,-73.659214400000,3.884412600000
62-LA CEIBA,109,5,-73.659256400000,3.884687400000
67-CASA ROJA,11,16,-73.643485100000,3.885767016000
67-CASA ROJA,11,9,-73.643397400000,3.884771233000
67-CASA ROJA,11,4,-73.643370400000,3.884311998000
67-CASA ROJA,11,11,-73.643404100000,3.884916733000
67-CASA ROJA,11,1,-73.643334300000,3.884159664000
67-CASA ROJA,11,7,-73.643383900000,3.884614364000
67-CASA ROJA,11,17,-73.643494100000,3.885921609000
67-CASA ROJA,11,5,-73.643372600000,3.884468862000
67-CASA ROJA,11,13,-73.643413000000,3.885107700000
67-CASA ROJA,11,6,-73.643379400000,3.884555254000
67-CASA ROJA,11,2,-73.643354600000,3.884223329000
67-CASA ROJA,11,10,-73.643397300000,3.884839434000
67-CASA ROJA,11,14,-73.643478400000,3.885687444000
67-CASA ROJA,11,8,-73.643386100000,3.884682566000
67-CASA ROJA,11,4,-73.643370400000,3.884384746000
67-CASA ROJA,11,16,-73.643485100000,3.885839763000
67-CASA ROJA,11,12,-73.643406300000,3.885012215000
62-LA CEIBA,11,5,-73.667511300000,3.888559600000
62-LA CEIBA,11,9,-73.667458500000,3.888199600000
62-LA CEIBA,11,7,-73.667490600000,3.888366300000
62-LA CEIBA,11,17,-73.667351700000,3.887487400000
62-LA CEIBA,11,10,-73.667443600000,3.888118100000
62-LA CEIBA,11,4,-73.667520400000,3.888641600000
62-LA CEIBA,11,3,-73.667530100000,3.888731500000
62-LA CEIBA,11,16,-73.667360400000,3.887565500000
62-LA CEIBA,11,2,-73.667536300000,3.888825500000
62-LA CEIBA,11,1,-73.667553200000,3.888906900000
62-LA CEIBA,11,8,-73.667465600000,3.888281700000
62-LA CEIBA,11,14,-73.667390000000,3.887748200000
62-LA CEIBA,11,12,-73.667410400000,3.887916000000
62-LA CEIBA,11,11,-73.667436900000,3.888018100000
62-LA CEIBA,11,13,-73.667405100000,3.887831700000
62-LA CEIBA,11,18,-73.667334700000,3.887404100000
62-LA CEIBA,11,6,-73.667491000000,3.888460900000
62-LA CEIBA,11,15,-73.667374400000,3.887658900000
67-CASA ROJA,110,23,-73.650053200000,3.884256309000
67-CASA ROJA,110,8,-73.649945200000,3.882924057000
67-CASA ROJA,110,5,-73.649918200000,3.882696706000
67-CASA ROJA,110,22,-73.650039700000,3.884160821000
67-CASA ROJA,110,18,-73.649996900000,3.883694757000
67-CASA ROJA,110,11,-73.649954200000,3.883151399000
67-CASA ROJA,110,2,-73.649891200000,3.882462535000
67-CASA ROJA,110,12,-73.649963200000,3.883230972000
67-CASA ROJA,110,21,-73.650012600000,3.883922103000
67-CASA ROJA,110,3,-73.649897900000,3.882555747000
67-CASA ROJA,110,10,-73.649952000000,3.883076377000
67-CASA ROJA,110,7,-73.649931700000,3.882837662000
67-CASA ROJA,110,13,-73.649969900000,3.883315090000
67-CASA ROJA,110,6,-73.649922700000,3.882762636000
67-CASA ROJA,110,19,-73.650010500000,3.883767512000
67-CASA ROJA,110,17,-73.649994700000,3.883537893000
67-CASA ROJA,110,20,-73.650012700000,3.883856175000
67-CASA ROJA,110,14,-73.649981200000,3.883458318000
67-CASA ROJA,110,4,-73.649904700000,3.882608038000
67-CASA ROJA,110,14,-73.649981200000,3.883378750000
67-CASA ROJA,110,1,-73.649884400000,3.882394330000
67-CASA ROJA,110,9,-73.649947500000,3.882999080000
67-CASA ROJA,110,17,-73.649994700000,3.883624282000
62-LA CEIBA,110,3,-73.659218000000,3.884925800000
62-LA CEIBA,110,4,-73.659170900000,3.884644600000
62-LA CEIBA,110,5,-73.659164200000,3.884567600000
62-LA CEIBA,110,9,-73.659107600000,3.884228000000
62-LA CEIBA,110,7,-73.659127900000,3.884383700000
62-LA CEIBA,110,8,-73.659114700000,3.884284400000
62-LA CEIBA,110,1,-73.659232400000,3.885118500000
62-LA CEIBA,110,6,-73.659149800000,3.884479900000
62-LA CEIBA,110,2,-73.659225400000,3.885011800000
67-CASA ROJA,111,1,-73.649925100000,3.882396624000
67-CASA ROJA,111,7,-73.650008600000,3.882960463000
67-CASA ROJA,111,20,-73.650076000000,3.883876667000
67-CASA ROJA,111,14,-73.650046900000,3.883401517000
67-CASA ROJA,111,18,-73.650069300000,3.883794823000
67-CASA ROJA,111,16,-73.650055800000,3.883565205000
67-CASA ROJA,111,18,-73.650069300000,3.883719801000
67-CASA ROJA,111,4,-73.649972500000,3.882646720000
67-CASA ROJA,111,12,-73.650033300000,3.883271928000
67-CASA ROJA,111,13,-73.650044600000,3.883349229000
67-CASA ROJA,111,2,-73.649931900000,3.882464829000
